(move 動く敵  stop 動かない敵 homing ホーミングする敵 dist_homing 一定座標でホーミングする敵)
(x,z座標 最小 -8.5 ～ 最大 8.5内で設定)
  敵の種類    x座標 ｙ座標  ｚ座標   出現時間(秒)
    stop         1      0      2        1.0
    stop         2      0      3        1.0
    stop         1      0      4        1.0
    stop         0      0      5        1.0
    stop        -1      0      4        1.0
    stop        -2      0      3        1.0
    stop        -1      0      2        1.0
    move        3.5     0     8.5       1.0
    move        4.5     0     8.5       1.0
    move        5.5     0     8.5       1.0
    move       -2.5     0     8.5       2.0
    move       -3.5     0     8.5       2.0
    move       -4.5     0     8.5       2.0
    stop        -6      0     -8        7.0
    stop        -7      0     -7        7.0
    stop        -8      0     -8        7.0
    move        -3      0      7        7.0
    move        -2      0     7.5       7.0
    move        -1      0      8        7.0
dist_homing      0      0     8.5       7.0
    move         1      0      8        7.0
    move         2      0     7.5       7.0
    move         3      0      7        7.0
    stop         6      0      0       10.0
    stop         7      0      1       10.0
    stop         8      0      0       10.0
    stop        -6      0      0       10.0
    stop        -7      0      1       10.0
    stop        -8      0      0       10.0
    stop         6      0      7       10.0
    stop         7      0      8       10.0
    stop         8      0      7       10.0
    stop        -6      0      7       10.0
    stop        -7      0      8       10.0
    stop        -8      0      7       10.0
    stop         6      0     -8       10.0
    stop         7      0     -7       10.0
    stop         8      0     -8       10.0
    move        -3      0      7       13.0
    move        -2      0     7.5      13.0
    move        -1      0      8       13.0
   homing        0      0     8.5      13.0
    move         1      0      8       13.0
    move         2      0     7.5      13.0
    move         3      0      7       13.0
    move        -6      0      8       25.0
    move        -4      0      8       25.0
    move        -2      0      8       25.0
    move        -6      0      6       25.0
dist_homing     -4      0      6       25.0
    move        -2      0      6       25.0
    move        -6      0      4       25.0
    move        -4      0      4       25.0
    move        -2      0      4       25.0
    move         4      0      8       30.0
    move         5      0      6       30.0
   homing        4      0      6       30.0
    move         3      0      6       30.0
    move         6      0      4       30.0
    move         4      0      4       30.0
    move         2      0      4       30.0
    move         2      0      8       31.0
    move         6      0      8       31.0
    move        -2      0      8       31.0
    move        -6      0      8       31.0
    move         3      0      8       33.0
    move         7      0      8       33.0
    move        -3      0      8       33.0
    move        -7      0      8       33.0
   homing       -8      0     -8       35.0
    move         1      0      8       35.0
    move         5      0      8       35.0
    move        -1      0      8       35.0
    move        -5      0      8       37.0
    move         0      0      8       37.0
    move         4      0      8       37.0
    move        -4      0      8       37.0
    move         4      0      8       39.0
    move         2      0      8       39.0
    move         0      0      8       39.0
    move        -2      0      8       39.0
    move        -4      0      8       39.0
dist_homing      3      0      8       41.0
dist_homing     -3      0      8       41.0
    move         4      0      8       43.0
    move        -4      0      8       43.0
    move         4      0      8       45.0
    move        -4      0      8       45.0
    move         4      0      8       45.0
    move        -4      0      8       45.0
    move         4      0      8       47.0
    move         2      0      8       47.0
    move         0      0      8       47.0
    move        -2      0      8       47.0
    move        -4      0      8       47.0
    move         0      0      8       49.0
    move         4      0      8       49.0
    move        -4      0      8       49.0
    move         1      0      8       51.0
    move         5      0      8       51.0
    move        -1      0      8       51.0
    move        -5      0      8       51.0
    move         2      0      8       53.0
    move         6      0      8       53.0
    move        -2      0      8       53.0
    move        -6      0      8       53.0
    move         2      0      8       55.0
    move         6      0      8       55.0
    move        -2      0      8       55.0
    move        -6      0      8       55.0
